Date,Type,Category,Amount,Currency,Comment
2026-05-01,Income,Salary,50000,UAH,May salary
2026-05-02,Expense,Food,350.50,UAH,Groceries at ATB
2026-05-03,Expense,Car,200,UAH,Fuel for Volkswagen
2026-05-04,Expense,Food > Restaurants,520,UAH,Lunch with team — Restaurants auto-created under Food
2026-05-05,Expense,Health,80,UAH,Pharmacy
2026-05-06,Expense,Food > Restaurants > Italian,650,UAH,3-level path — Italian auto-created under Restaurants
2026-05-07,Expense,Coffee,45,UAH,NEW flat category — top-level under Spending
2026-05-08,Expense,Subscriptions > Netflix,9.99,USD,2-level — Subscriptions and Netflix both auto-created (multi-currency row)
2026-05-09,Expense,House,2500,UAH,Monthly rent
2026-05-10,Expense,Clothes,800,UAH,New shoes
2026-05-12,Expense,Food,520,UAH,Weekly groceries
2026-05-14,Expense,Gift,1200,UAH,Birthday present
2026-05-15,Income,Freelance,5000,USD,NEW Income category — created under Income root
2026-05-18,Expense,Food > Restaurants,180,UAH,Lunch out
2026-05-20,Expense,Car,1500,UAH,Insurance
2026-05-22,Expense,Other,90,UAH,Phone bill
2026-05-25,Expense,Drink,45,UAH,Coffee with colleague
2026-05-28,Expense,Pet,300,UAH,Cat food + litter
